Address,City,State,Zip,Qty,Service,Size,Freq.
22950 Bellaire Blvd,Richmond,TX,77406,1,Trash,6 Yard,2x/week
2301 N Big Springs St,Midland,TX,79705,1,Trash,8 Yard,2x/week
2305 BELMONT ST,Midland,TX,79701,1,Trash,6 Yard,3x/week
2318 Bob Bullock Loop 20,Laredo,TX,78043,1,Trash,8 Yard,1x/week
2331 E University Dr,Prosper,TX,75078,1,Trash,8 Yard,2x/week
23593 US Highway 59,Porter,TX,77365,1,Trash,6 Yard,2x/week
2400 NW Loop 338,Odessa,TX,79763,1,Trash,8 Yard,3x/week
2401 S Wayside Dr,Houston,TX,77023,1,Trash,6 Yard,3x/week
2427 Veterans BLVD,Del Rio,TX,78840,1,Trash,4 Yard,3x/week
2476 Arapaho Rd.,Garland,TX,75044,1,Trash,8 Yard,2x/week
2501 Avondale Haslet Rd,Haslet,TX,76052,1,Trash,8 Yard,3x/week
25104 MARKET PLACE DR,Katy,TX,77494,1,Trash,6 Yard,2x/week
2519 SE MILITARY DR,San Antonio,TX,78223,1,Trash,6 Yard,3x/week
2612 US HIGHWAY 281,Marble Falls,TX,78654,1,Trash,4 Yard,3x/week
26272 NORTHWEST FWY,Cypress,TX,77429,1,Trash,6 Yard,2x/week
2670 N MAIN ST,Belton,TX,76513,1,Trash,8 Yard,2x/week
2703 50Th St,Lubbock,TX,79413,1,Trash,8 Yard,3x/week
2741 East Whitestone Blvd,Cedar Park,TX,78613,1,Trash,8 Yard,2x/week
2744 GESSNER DR,Houston,TX,77080,1,Trash,8 Yard w/ Lockbar,1x/week
2762 S I69C,Edinburg,TX,78542,1,Trash,8 Yard,2x/week
27630 TOMBALL PARKWAY,Tomball,TX,77375,1,Trash,6 Yard,1x/week
2801 S STATE HIGHWAY 36,Gatesville,TX,76528,1,Trash,4 Yard,1x/week
2981 MATLOCK RD,Mansfield,TX,76063,1,Trash,4 Yard,1x/week
301 E. Loop 281,Longview,TX,75605,1,Trash,8 Yard,3x/week
3015 East Berry St,Fort Worth,TX,76105,1,Trash,8 Yard w/ Lockbar,2x/week
30202 FM 2978 RD,Magnolia,TX,77354,1,Trash,6 Yard,2x/week
3042 COLLEGE PARK DR,Conroe,TX,77384,1,Trash,6 Yard,2x/week
3102 W WHEATLAND RD,Dallas,TX,75237,1,Trash,6 Yard w/ Lockbar,2x/week
3117 EDGAR BROWN DR,Orange,TX,77630,1,Trash,8 Yard,2x/week
3200 Dixie Farm Rd,Pearland,TX,77581,1,Trash,8 Yard,1x/week
333 E US HIGHWAY 82,Sherman,TX,75092,1,Trash,6 Yard,2x/week
3401 Joyce Dr,Fort Worth,TX,76116,1,Trash,8 Yard,2x/week
3401 West Loop 289,Lubbock,TX,79407,1,Trash,8 Yard,2x/week
3403 Indiana Ave,Lubbock,TX,79413,2,Trash,8 Yard,2x/week
3454 HIGHWAY 6 S,Houston,TX,77082,1,Trash,6 Yard,2x/week
3500 FM 1960 RD W,Houston,TX,77068,1,Trash,8 Yard,2x/week
3501 Harwood Road,Bedford,TX,76021,1,Trash,8 Yard,2x/week
3509 Houston Hwy,Victoria,TX,77901,1,Trash,8 Yard,2x/week
3591 Zaragoza Rd,El Paso,TX,79938,1,Trash,6 Yard,2x/week
360 Grapevine Highway,Hurst,TX,76054,1,Trash,8 Yard,2x/week
3804 STATE HIGHWAY 64 W,Tyler,TX,75704,1,Trash,6 Yard,2x/week
3805 LAMAR AVE,Paris,TX,75462,1,Trash,8 Yard,2x/week
3831 W HWY 31,Corsicana,TX,75110,1,Trash,6 Yard,2x/week
3837 IH 69 Access Rd,Corpus Christi,TX,78410,1,Trash,6 Yard,2x/week
3877 MAURICE AVE,Fort Worth,TX,76111,1,Trash,6 Yard,2x/week
4004 ESTES PKWY,Longview,TX,75603,1,Trash,6 Yard,2x/week
401 S Beckham Ave,Tyler,TX,75702,1,Trash,8 Yard,2x/week
405 NE Georgia Ave,Sweetwater,TX,79556,1,Trash,6 Yard,2x/week
4109 State Hwy 121,Bedford,TX,76021,1,Trash,6 Yard,2x/week
4115 DOWLEN RD,Beaumont,TX,77706,1,Trash,4 Yard,3x/week
4200 FM 2181,Hickory Creek,TX,75065,1,Trash,8 Yard,2x/week
4209 CANYON DR,Amarillo,TX,79110,1,Trash,6 Yard,2x/week
4221 S LOOP 289,Lubbock,TX,79423,1,Trash,8 Yard,2x/week
4245 S MCCOLL RD,Edinburg,TX,78539,1,Trash,8 Yard,1x/week
430 Coit Rd,Plano,TX,75075,1,Trash,6 Yard,2x/week
4406 N Foster Rd,San Antonio,TX,78244,1,Trash,6 Yard,2x/week
4412 S. Collins Street,Arlington,TX,76018,1,Trash,8 Yard,2x/week
4419 US HIGHWAY 83,Laredo,TX,78046,1,Trash,6 Yard,1x/week
4422 NORTH ST,Nacogdoches,TX,75965,1,Trash,6 Yard,2x/week
45 E Crosstimbers St,Houston,TX,77022,1,Trash,8 Yard,2x/week
4500 N CONWAY AVE,Palmhurst,TX,78573,1,Trash,4 Yard,2x/week
4517 N MIDLAND DR,Midland,TX,79707,1,Trash,8 Yard,2x/week
4540 WOODROW BEAN,El Paso,TX,79924,1,Trash,6 Yard,1x/week
4611 NORTH TARRANT PKWY,Fort Worth,TX,76244,1,Trash,6 Yard,1x/week
4700 E PALM VALLEY BLVD,Round Rock,TX,78665,1,Trash,8 Yard,2x/week
4701 Alta Mesa Blvd,Fort Worth,TX,76133,1,Trash,8 Yard,2x/week
4800 S COULTER ST,Amarillo,TX,79119,1,Trash,6 Yard,2x/week
4802 Wilson Rd,Humble,TX,77396,1,Trash,8 Yard,2x/week
4814 HIGHWAY 6 N,Houston,TX,77084,1,Trash,6 Yard,1x/week
4858 FM 720 W,Cross Roads,TX,76227,1,Trash,8 Yard,2x/week
490 Agnes St,Bastrop,TX,78602,1,Trash,6 Yard,2x/week
4906 GARTH RD,Baytown,TX,77521,1,Trash,6 Yard,1x/week
4926 EAST BLVD,La Porte,TX,77571,1,Trash,6 Yard,4x/week
500 S Buckner Blvd,Dallas,TX,75217,1,Trash,8 Yard,3x/week
5054 TROUP HWY,Tyler,TX,75707,1,Trash,8 Yard,1x/week
5071 LITTLE SCHOOL RD,Arlington,TX,76017,1,Trash,8 Yard,2x/week
510 SOUTHMORE AVE,Pasadena,TX,77502,1,Trash,4 Yard,2x/week
5113 82nd St,Lubbock,TX,79424,1,Trash,8 Yard,3x/week
5140 N Beltline Rd,Irving,TX,75038,1,Trash,8 Yard,2x/week
5204 FAIRMONT PKWY,Pasadena,TX,77505,1,Trash,6 Yard,2x/week
525 W I-30,Garland,TX,75043,1,Trash,6 Yard,1x/week
5334 FM 1640 RD,Richmond,TX,77469,1,Trash,6 Yard,1x/week
5351 BASSWOOD BLVD,Fort Worth,TX,76137,1,Trash,6 Yard,1x/week
5362 N Garland Ave,Garland,TX,75040,1,Trash,8 Yard,2x/week
5375 S Cooper St,Arlington,TX,76017,1,Trash,8 Yard,2x/week
5519 4th Street,Lubbock,TX,79416,1,Trash,8 Yard,2x/week
